method,ratio,subsampling_seed,rmse,mae
regime_mixup_jitter_0p02_rho0p85,0.25,42,0.27336542097,0.192755345918
regime_mixup_jitter_0p02_rho0p85,0.25,123,0.289308163487,0.207589706832
regime_mixup_jitter_0p02_rho0p85,0.25,2026,0.37192451774,0.298420352601
regime_mixup_jitter_0p02_rho0p85,0.5,42,0.251214750899,0.181961389531
regime_mixup_jitter_0p02_rho0p85,0.5,123,0.241182189799,0.167975224812
regime_mixup_jitter_0p02_rho0p85,0.5,2026,0.26079154704,0.179937510338
regime_mixup_jitter_0p02_rho0p85,0.75,42,0.255732467575,0.175961853161
regime_mixup_jitter_0p02_rho0p85,0.75,123,0.259152325789,0.179728768689
regime_mixup_jitter_0p02_rho0p85,0.75,2026,0.243605262777,0.168204076087
regime_mixup_jitter_0p03_rho0p85,0,,1.47957624427,1.14692737976
regime_mixup_jitter_0p03_rho0p85,0.25,42,0.272971499506,0.192338463648
regime_mixup_jitter_0p03_rho0p85,0.25,123,0.289504552217,0.207887203935
regime_mixup_jitter_0p03_rho0p85,0.25,2026,0.369721854362,0.296248487101
regime_mixup_jitter_0p03_rho0p85,0.5,42,0.251682065687,0.182019424138
regime_mixup_jitter_0p03_rho0p85,0.5,123,0.240779483495,0.167670149672
regime_mixup_jitter_0p03_rho0p85,0.5,2026,0.26090155332,0.180053984015
regime_mixup_jitter_0p03_rho0p85,0.75,42,0.255601739946,0.175857962127
regime_mixup_jitter_0p03_rho0p85,0.75,123,0.259436360742,0.180002042461
regime_mixup_jitter_0p03_rho0p85,0.75,2026,0.243501482656,0.168083349926
pca_gmm_24c8,0,,1.47957624427,1.14692737976
pca_gmm_24c8,0.25,42,0.352850297391,0.254615208637
pca_gmm_24c8,0.25,123,0.335733577688,0.2485489895
pca_gmm_24c8,0.25,2026,0.366646694079,0.279232941532
pca_gmm_24c8,0.5,42,0.267358237027,0.194638097405
pca_gmm_24c8,0.5,123,0.260271630611,0.188727330315
pca_gmm_24c8,0.5,2026,0.292696508225,0.216236443898
pca_gmm_24c8,0.75,42,0.272768942037,0.211988443001
pca_gmm_24c8,0.75,123,0.245657071264,0.176279438317
pca_gmm_24c8,0.75,2026,0.24440944016,0.176473543616
pca_gmm_32c12,0,,1.47957624427,1.14692737976
pca_gmm_32c12,0.25,42,0.294827983996,0.213797455954
pca_gmm_32c12,0.25,123,0.30736663078,0.221690286865
pca_gmm_32c12,0.25,2026,0.285265615971,0.216917788699
pca_gmm_32c12,0.5,42,0.267407992985,0.195802383746
pca_gmm_32c12,0.5,123,0.249028734933,0.17589469141
pca_gmm_32c12,0.5,2026,0.264826957734,0.190787175269
pca_gmm_32c12,0.75,42,0.24194262569,0.168449510048
pca_gmm_32c12,0.75,123,0.251797217767,0.181906986916
pca_gmm_32c12,0.75,2026,0.241108033877,0.17159660279
